channels_tsv,header,motion_condition,outcomes_opened,participant,participant_role,processed_eeg_channels,processed_eog_channels,processed_imu_channels,sampling_rate_hz,session,source_channels_tsv,source_eeg_channels,source_eog_channels,support_or_query,task
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-03/eeg/sub-07_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-03/eeg/sub-07_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-03/eeg/sub-07_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-04/eeg/sub-07_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-04/eeg/sub-07_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-04/eeg/sub-07_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-04/eeg/sub-07_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-04/eeg/sub-07_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-04/eeg/sub-07_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-05/eeg/sub-07_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-05/eeg/sub-07_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-05/eeg/sub-07_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-07/ses-05/eeg/sub-07_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-07/ses-05/eeg/sub-07_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-07,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-07/ses-05/eeg/sub-07_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-01/eeg/sub-08_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-01/eeg/sub-08_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-08,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-01/eeg/sub-08_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-02/eeg/sub-08_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-02/eeg/sub-08_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-02/eeg/sub-08_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-02/eeg/sub-08_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-02/eeg/sub-08_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-02/eeg/sub-08_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-03/eeg/sub-08_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-03/eeg/sub-08_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-03/eeg/sub-08_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-03/eeg/sub-08_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-03/eeg/sub-08_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-03/eeg/sub-08_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-04/eeg/sub-08_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-04/eeg/sub-08_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-04/eeg/sub-08_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-04/eeg/sub-08_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-04/eeg/sub-08_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-04/eeg/sub-08_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-05/eeg/sub-08_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-05/eeg/sub-08_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-05/eeg/sub-08_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-08/ses-05/eeg/sub-08_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-08/ses-05/eeg/sub-08_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-08,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-08/ses-05/eeg/sub-08_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-01/eeg/sub-09_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-01/eeg/sub-09_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-09,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-01/eeg/sub-09_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-02/eeg/sub-09_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-02/eeg/sub-09_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-02/eeg/sub-09_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-02/eeg/sub-09_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-02/eeg/sub-09_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-02/eeg/sub-09_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-03/eeg/sub-09_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-03/eeg/sub-09_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-03/eeg/sub-09_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-03/eeg/sub-09_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-03/eeg/sub-09_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-03/eeg/sub-09_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-04/eeg/sub-09_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-04/eeg/sub-09_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-04/eeg/sub-09_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-04/eeg/sub-09_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-04/eeg/sub-09_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-04/eeg/sub-09_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-05/eeg/sub-09_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-05/eeg/sub-09_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-05/eeg/sub-09_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-09/ses-05/eeg/sub-09_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-09/ses-05/eeg/sub-09_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-09,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-09/ses-05/eeg/sub-09_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-01/eeg/sub-10_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-01/eeg/sub-10_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-10,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-01/eeg/sub-10_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-02/eeg/sub-10_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-02/eeg/sub-10_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-02/eeg/sub-10_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-02/eeg/sub-10_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-02/eeg/sub-10_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-02/eeg/sub-10_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-03/eeg/sub-10_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-03/eeg/sub-10_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-03/eeg/sub-10_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-03/eeg/sub-10_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-03/eeg/sub-10_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-03/eeg/sub-10_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-04/eeg/sub-10_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-04/eeg/sub-10_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-04/eeg/sub-10_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-04/eeg/sub-10_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-04/eeg/sub-10_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-04/eeg/sub-10_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-05/eeg/sub-10_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-05/eeg/sub-10_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-05/eeg/sub-10_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-10/ses-05/eeg/sub-10_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-10/ses-05/eeg/sub-10_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-10,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-10/ses-05/eeg/sub-10_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-01/eeg/sub-11_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-01/eeg/sub-11_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-11,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-01/eeg/sub-11_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-02/eeg/sub-11_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-02/eeg/sub-11_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-02/eeg/sub-11_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-02/eeg/sub-11_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-02/eeg/sub-11_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-02/eeg/sub-11_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-03/eeg/sub-11_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-03/eeg/sub-11_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-03/eeg/sub-11_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-03/eeg/sub-11_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-03/eeg/sub-11_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-03/eeg/sub-11_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-04/eeg/sub-11_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-04/eeg/sub-11_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-04/eeg/sub-11_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-04/eeg/sub-11_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-04/eeg/sub-11_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-04/eeg/sub-11_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-05/eeg/sub-11_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-05/eeg/sub-11_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-05/eeg/sub-11_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-11/ses-05/eeg/sub-11_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-11/ses-05/eeg/sub-11_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-11,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-11/ses-05/eeg/sub-11_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-01/eeg/sub-12_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-01/eeg/sub-12_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-12,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-01/eeg/sub-12_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-02/eeg/sub-12_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-02/eeg/sub-12_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-02/eeg/sub-12_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-02/eeg/sub-12_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-02/eeg/sub-12_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-02/eeg/sub-12_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-03/eeg/sub-12_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-03/eeg/sub-12_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-03/eeg/sub-12_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-03/eeg/sub-12_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-03/eeg/sub-12_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-12,outer_training_development,46,0,0,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-03/eeg/sub-12_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-04/eeg/sub-12_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-04/eeg/sub-12_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-04/eeg/sub-12_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-04/eeg/sub-12_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-04/eeg/sub-12_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-04/eeg/sub-12_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-05/eeg/sub-12_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-05/eeg/sub-12_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-05/eeg/sub-12_ses-05_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-12/ses-05/eeg/sub-12_ses-05_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-12/ses-05/eeg/sub-12_ses-05_task-SSVEP_eeg.vhdr,slight_running_2.0mps,False,sub-12,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-12/ses-05/eeg/sub-12_ses-05_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-01/eeg/sub-13_ses-01_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-01/eeg/sub-13_ses-01_task-ERP_eeg.vhdr,erp_training_standing,False,sub-13,outer_training_development,46,0,27,100.0,ses-01,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-01/eeg/sub-13_ses-01_task-ERP_channels.tsv,46,4,training_auxiliary,ERP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-02/eeg/sub-13_ses-02_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-02/eeg/sub-13_ses-02_task-ERP_eeg.vhdr,standing_0.0mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-02/eeg/sub-13_ses-02_task-ERP_channels.tsv,46,4,support,ERP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-02/eeg/sub-13_ses-02_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-02/eeg/sub-13_ses-02_task-SSVEP_eeg.vhdr,standing_0.0mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-02,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-02/eeg/sub-13_ses-02_task-SSVEP_channels.tsv,46,4,support,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-03/eeg/sub-13_ses-03_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-03/eeg/sub-13_ses-03_task-ERP_eeg.vhdr,slow_walking_0.8mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-03/eeg/sub-13_ses-03_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-03/eeg/sub-13_ses-03_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-03/eeg/sub-13_ses-03_task-SSVEP_eeg.vhdr,slow_walking_0.8mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-03,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-03/eeg/sub-13_ses-03_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-04/eeg/sub-13_ses-04_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-04/eeg/sub-13_ses-04_task-ERP_eeg.vhdr,fast_walking_1.6mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-04/eeg/sub-13_ses-04_task-ERP_channels.tsv,46,4,query,ERP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-04/eeg/sub-13_ses-04_task-SSVEP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-04/eeg/sub-13_ses-04_task-SSVEP_eeg.vhdr,fast_walking_1.6mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-04,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-04/eeg/sub-13_ses-04_task-SSVEP_channels.tsv,46,4,query,SSVEP
/projects/EEG-foundation-model/mobile_bci/sub-13/ses-05/eeg/sub-13_ses-05_task-ERP_channels.tsv,/projects/EEG-foundation-model/mobile_bci/sub-13/ses-05/eeg/sub-13_ses-05_task-ERP_eeg.vhdr,slight_running_2.0mps,False,sub-13,outer_training_development,46,0,27,100.0,ses-05,/projects/EEG-foundation-model/mobile_bci/sourcedata/sub-13/ses-05/eeg/sub-13_ses-05_task-ERP_channels.tsv,46,4,query,ERP
